in s,C1 in V
-3.2255600E-04,-2.00724E+00
-3.2254200E-04,-2.00724E+00
-3.2252800E-04,-2.01525E+00
-3.2251400E-04,-2.01525E+00
-3.2250000E-04,-1.99122E+00
-3.2248600E-04,-2.01525E+00
-3.2247200E-04,-2.00724E+00
-3.2245800E-04,-1.99923E+00
-3.2244400E-04,-2.00724E+00
-3.2243000E-04,-2.02325E+00
-3.2241600E-04,-1.99923E+00
-3.2240200E-04,-2.02325E+00
-3.2238800E-04,-1.99923E+00
-3.2237400E-04,-2.02325E+00
-3.2236000E-04,-2.00724E+00
-3.2234600E-04,-1.99122E+00
-3.2233200E-04,-2.01525E+00
-3.2231800E-04,-2.03126E+00
-3.2230400E-04,-1.98321E+00
-3.2229000E-04,-2.00724E+00
-3.2227600E-04,-2.03126E+00
-3.2226200E-04,-2.00724E+00
-3.2224800E-04,-2.03126E+00
-3.2223400E-04,-1.98321E+00
-3.2222000E-04,-2.00724E+00
-3.2220600E-04,-2.01525E+00
-3.2219200E-04,-1.99122E+00
-3.2217800E-04,-2.00724E+00
-3.2216400E-04,-1.99923E+00
-3.2215000E-04,-2.03126E+00
-3.2213600E-04,-2.00724E+00
-3.2212200E-04,-2.02325E+00
-3.2210800E-04,-1.97521E+00
-3.2209400E-04,-2.02325E+00
-3.2208000E-04,-2.02325E+00
-3.2206600E-04,-2.02325E+00
-3.2205200E-04,-2.00724E+00
-3.2203800E-04,-1.98321E+00
-3.2202400E-04,-2.01525E+00
-3.2201000E-04,-2.01525E+00
-3.2199600E-04,-1.97521E+00
-3.2198200E-04,-2.00724E+00
-3.2196800E-04,-1.99923E+00
-3.2195400E-04,-2.01525E+00
-3.2194000E-04,-2.02325E+00
-3.2192600E-04,-2.00724E+00
-3.2191200E-04,-2.00724E+00
-3.2189800E-04,-1.99923E+00
-3.2188400E-04,-1.99923E+00
-3.2187000E-04,-2.00724E+00
-3.2185600E-04,-2.00724E+00
-3.2184200E-04,-2.01525E+00
-3.2182800E-04,-1.99923E+00
-3.2181400E-04,-1.99923E+00
-3.2180000E-04,-1.99923E+00
-3.2178600E-04,-2.02325E+00
-3.2177200E-04,-1.99923E+00
-3.2175800E-04,-2.03126E+00
-3.2174400E-04,-2.01525E+00
-3.2173000E-04,-2.00724E+00
-3.2171600E-04,-2.01525E+00
-3.2170200E-04,-1.99122E+00
-3.2168800E-04,-2.00724E+00
-3.2167400E-04,-2.00724E+00
-3.2166000E-04,-1.99122E+00
-3.2164600E-04,-2.00724E+00
-3.2163200E-04,-2.00724E+00
-3.2161800E-04,-1.99923E+00
-3.2160400E-04,-2.02325E+00
