in s,C1 in V
-2.96232E-05,2.63057E+00
-2.96220E-05,2.64033E+00
-2.96208E-05,2.62568E+00
-2.96196E-05,2.63057E+00
-2.96184E-05,2.63057E+00
-2.96172E-05,2.63057E+00
-2.96160E-05,2.64521E+00
-2.96148E-05,2.64521E+00
-2.96136E-05,2.62568E+00
-2.96124E-05,2.64033E+00
-2.96112E-05,2.63545E+00
-2.96100E-05,2.63545E+00
-2.96088E-05,2.64521E+00
-2.96076E-05,2.64033E+00
-2.96064E-05,2.64033E+00
-2.96052E-05,2.63057E+00
-2.96040E-05,2.63057E+00
-2.96028E-05,2.62568E+00
-2.96016E-05,2.64033E+00
-2.96004E-05,2.64033E+00
-2.95992E-05,2.63545E+00
-2.95980E-05,2.62568E+00
-2.95968E-05,2.64521E+00
-2.95956E-05,2.64033E+00
-2.95944E-05,2.64033E+00
-2.95932E-05,2.63545E+00
-2.95920E-05,2.63057E+00
-2.95908E-05,2.63545E+00
-2.95896E-05,2.64521E+00
-2.95884E-05,2.63545E+00
-2.95872E-05,2.64033E+00
-2.95860E-05,2.63545E+00
-2.95848E-05,2.64521E+00
-2.95836E-05,2.65498E+00
-2.95824E-05,2.63057E+00
-2.95812E-05,2.62568E+00
-2.95800E-05,2.63057E+00
-2.95788E-05,2.63545E+00
-2.95776E-05,2.63057E+00
-2.95764E-05,2.64521E+00
-2.95752E-05,2.63057E+00
-2.95740E-05,2.62568E+00
-2.95728E-05,2.62568E+00
-2.95716E-05,2.64033E+00
-2.95704E-05,2.63545E+00
-2.95692E-05,2.62568E+00
-2.95680E-05,2.64521E+00
-2.95668E-05,2.64033E+00
-2.95656E-05,2.61104E+00
-2.95644E-05,2.63057E+00
-2.95632E-05,2.62568E+00
-2.95620E-05,2.62568E+00
-2.95608E-05,2.62080E+00
-2.95596E-05,2.63545E+00
-2.95584E-05,2.64033E+00
-2.95572E-05,2.64521E+00
-2.95560E-05,2.64033E+00
-2.95548E-05,2.64033E+00
-2.95536E-05,2.64033E+00
-2.95524E-05,2.64033E+00
-2.95512E-05,2.63057E+00
-2.95500E-05,2.64033E+00
-2.95488E-05,2.64033E+00
-2.95476E-05,2.63057E+00
-2.95464E-05,2.63057E+00
-2.95452E-05,2.63057E+00
-2.95440E-05,2.63057E+00
-2.95428E-05,2.62080E+00
-2.95416E-05,2.62568E+00
-2.95404E-05,2.63545E+00
-2.95392E-05,2.62568E+00
-2.95380E-05,2.65498E+00
-2.95368E-05,2.63057E+00
-2.95356E-05,2.63057E+00
-2.95344E-05,2.63545E+00
-2.95332E-05,2.62080E+00
-2.95320E-05,2.63057E+00
-2.95308E-05,2.63057E+00
-2.95296E-05,2.64033E+00
-2.95284E-05,2.64521E+00
-2.95272E-05,2.64521E+00
-2.95260E-05,2.65010E+00
-2.95248E-05,2.63545E+00
-2.95236E-05,2.63545E+00
-2.95224E-05,2.64521E+00
-2.95212E-05,2.65010E+00
-2.95200E-05,2.64521E+00
-2.95188E-05,2.64033E+00
-2.95176E-05,2.62568E+00
-2.95164E-05,2.64521E+00
-2.95152E-05,2.63057E+00
-2.95140E-05,2.63545E+00
-2.95128E-05,2.63545E+00
-2.95116E-05,2.63057E+00
-2.95104E-05,2.64033E+00
-2.95092E-05,2.64033E+00
-2.95080E-05,2.62568E+00
-2.95068E-05,2.62568E+00
-2.95056E-05,2.63545E+00
-2.95044E-05,2.64521E+00
-2.95032E-05,2.63545E+00
-2.95020E-05,2.63057E+00
-2.95008E-05,2.63057E+00
-2.94996E-05,2.65010E+00
-2.94984E-05,2.63545E+00
-2.94972E-05,2.64033E+00
-2.94960E-05,2.62568E+00
-2.94948E-05,2.64033E+00
-2.94936E-05,2.62568E+00
-2.94924E-05,2.64033E+00
-2.94912E-05,2.64521E+00
-2.94900E-05,2.65498E+00
-2.94888E-05,2.63057E+00
-2.94876E-05,2.64033E+00
-2.94864E-05,2.62568E+00
-2.94852E-05,2.64521E+00
-2.94840E-05,2.64521E+00
-2.94828E-05,2.64521E+00
-2.94816E-05,2.64033E+00
-2.94804E-05,2.63057E+00
-2.94792E-05,2.63057E+00
-2.94780E-05,2.64033E+00
-2.94768E-05,2.62568E+00
-2.94756E-05,2.64033E+00
-2.94744E-05,2.61592E+00
-2.94732E-05,2.61592E+00
-2.94720E-05,2.64033E+00
-2.94708E-05,2.62568E+00
-2.94696E-05,2.63545E+00
-2.94684E-05,2.64033E+00
-2.94672E-05,2.63057E+00
-2.94660E-05,2.64033E+00
-2.94648E-05,2.63545E+00
-2.94636E-05,2.65010E+00
-2.94624E-05,2.65010E+00
-2.94612E-05,2.64033E+00
-2.94600E-05,2.63057E+00
-2.94588E-05,2.63545E+00
-2.94576E-05,2.64521E+00
-2.94564E-05,2.64033E+00
-2.94552E-05,2.63545E+00
-2.94540E-05,2.63545E+00
-2.94528E-05,2.64521E+00
-2.94516E-05,2.63545E+00
-2.94504E-05,2.64521E+00
-2.94492E-05,2.63057E+00
-2.94480E-05,2.63057E+00
-2.94468E-05,2.63057E+00
-2.94456E-05,2.63545E+00
-2.94444E-05,2.64521E+00
-2.94432E-05,2.65010E+00
-2.94420E-05,2.64033E+00
-2.94408E-05,2.63545E+00
-2.94396E-05,2.64033E+00
-2.94384E-05,2.63057E+00
-2.94372E-05,2.65010E+00
-2.94360E-05,2.62568E+00
-2.94348E-05,2.64033E+00
-2.94336E-05,2.64521E+00
-2.94324E-05,2.64033E+00
-2.94312E-05,2.63057E+00
-2.94300E-05,2.64033E+00
-2.94288E-05,2.63545E+00
-2.94276E-05,2.62568E+00
-2.94264E-05,2.63057E+00
-2.94252E-05,2.62080E+00
-2.94240E-05,2.63057E+00
-2.94228E-05,2.65986E+00
-2.94216E-05,2.64521E+00
-2.94204E-05,2.64033E+00
-2.94192E-05,2.64033E+00
-2.94180E-05,2.64033E+00
-2.94168E-05,2.63057E+00
-2.94156E-05,2.64521E+00
-2.94144E-05,2.63057E+00
-2.94132E-05,2.62568E+00
-2.94120E-05,2.63057E+00
-2.94108E-05,2.64033E+00
-2.94096E-05,2.63545E+00
-2.94084E-05,2.64033E+00
