Displacement,Force
37.79999924,-0.700000048
37.90000153,-0.700000048
38,-0.700000048
38,-0.600000024
38.09999847,-0.600000024
38.20000076,-0.600000024
38.29999924,-0.600000024
38.40000153,-0.5
38.5,-0.5
38.59999847,-0.5
38.70000076,-0.5
38.79999924,-0.5
38.90000153,-0.5
39,-0.5
39.09999847,-0.5
39.20000076,-0.5
39.29999924,-0.5
39.40000153,-0.5
39.5,-0.5
39.59999847,-0.5
39.70000076,-0.5
39.79999924,-0.5
39.90000153,-0.5
40,-0.5
40.09999847,-0.5
40.20000076,-0.5
40.29999924,-0.5
40.40000153,-0.5
40.5,-0.5
40.59999847,-0.5
40.70000076,-0.5
40.79999924,-0.5
40.90000153,-0.5
41,-0.5
41.09999847,-0.5
41.20000076,-0.5
41.29999924,-0.5
41.40000153,-0.5
41.5,-0.5
41.59999847,-0.5
41.70000076,-0.5
41.79999924,-0.5
41.90000153,-0.5
42,-0.5
42.09999847,-0.5
42.20000076,-0.5
42.29999924,-0.5
42.40000153,-0.5
42.5,-0.5
42.59999847,-0.5
42.70000076,-0.400000095
42.79999924,-0.400000095
42.90000153,-0.400000095
43,-0.400000095
43.09999847,-0.400000095
43.20000076,-0.400000095
43.29999924,-0.400000095
43.40000153,-0.400000095
43.5,-0.400000095
43.59999847,-0.400000095
43.79999924,-0.299999952
43.90000153,-0.299999952
44,-0.299999952
44.09999847,-0.299999952
44.20000076,-0.200000048
44.29999924,-0.200000048
44.40000153,-0.200000048
44.5,-0.200000048
44.59999847,-0.200000048
44.70000076,-0.200000048
44.79999924,-0.200000048
44.90000153,-0.200000048
45,-0.200000048
45,-0.099999905
45.09999847,-0.099999905
45.20000076,-0.099999905
45.29999924,-0.099999905
45.40000153,-0.099999905
45.5,-0.099999905
45.59999847,-0.099999905
45.70000076,-0.099999905
45.79999924,-0.099999905
45.90000153,-0.099999905
46,-0.099999905
46.09999847,-0.099999905
46.20000076,-0.099999905
46.29999924,-0.099999905
46.40000153,-0.099999905
46.5,-0.099999905
46.59999847,-0.099999905
46.79999924,-0.099999905
46.90000153,-0.099999905
47,-0.099999905
47.09999847,-0.099999905
47.20000076,-0.099999905
47.29999924,-0.099999905
47.40000153,-0.099999905
47.5,-0.099999905
47.59999847,-0.099999905
47.70000076,-0.099999905
47.79999924,-0.099999905
47.90000153,-0.099999905
48,-0.099999905
48.09999847,-0.099999905
48.29999924,-0.099999905
48.40000153,-0.099999905
48.5,-0.099999905
48.70000076,-0.099999905
48.79999924,-0.099999905
48.90000153,-0.099999905
49,-0.099999905
49.09999847,-0.099999905
49.20000076,-0.099999905
49.29999924,-0.099999905
49.40000153,-0.099999905
49.5,-0.099999905
49.59999847,-0.099999905
49.70000076,-0.099999905
49.79999924,-0.099999905
49.90000153,-0.099999905
50,-0.099999905
50.09999847,-0.099999905
50.20000076,-0.099999905
50.29999924,-0.099999905
50.40000153,-0.099999905
50.5,-0.099999905
50.59999847,-0.099999905
50.59999847,0
50.70000076,0
50.5,0
50.40000153,0
50.29999924,0
50.20000076,0
50.09999847,0
50,0
49.90000153,0
49.79999924,0
49.59999847,0
49.40000153,0
49.29999924,0
49.20000076,0
49.09999847,0
49,0
48.90000153,0
48.79999924,0
48.70000076,0
48.5,0
48.40000153,0
48.29999924,0
48.20000076,0
48.09999847,0
48,0
47.90000153,0
47.70000076,0
47.59999847,0
47.40000153,0
47.29999924,0
47.09999847,0
47,0
46.90000153,0
46.79999924,0
46.70000076,0
46.59999847,0
46.5,0
46.40000153,0
46.29999924,0
46.20000076,0
46.09999847,0
46,0
45.90000153,0
45.79999924,0
45.70000076,0
45.59999847,0
45.5,0
45.40000153,0
45.29999924,0
45.20000076,0
45.09999847,0
45,0
44.90000153,0
44.79999924,0
44.70000076,0
44.59999847,0
44.5,0
44.40000153,0
44.29999924,0
44.20000076,-0.099999905
44.09999847,-0.099999905
44,-0.099999905
43.90000153,-0.099999905
43.79999924,-0.099999905
43.59999847,-0.099999905
43.5,-0.099999905
43.40000153,-0.099999905
43.29999924,-0.099999905
43.20000076,-0.099999905
43,-0.099999905
42.90000153,-0.200000048
42.79999924,-0.200000048
42.70000076,-0.200000048
42.59999847,-0.200000048
42.5,-0.200000048
42.40000153,-0.200000048
42.20000076,-0.200000048
42.09999847,-0.200000048
42,-0.200000048
41.90000153,-0.200000048
41.79999924,-0.200000048
41.70000076,-0.200000048
41.59999847,-0.200000048
41.5,-0.200000048
41.40000153,-0.200000048
41.29999924,-0.200000048
41.20000076,-0.200000048
41.09999847,-0.200000048
41,-0.200000048
40.90000153,-0.200000048
40.79999924,-0.200000048
40.70000076,-0.200000048
40.59999847,-0.200000048
40.5,-0.200000048
40.40000153,-0.200000048
40.29999924,-0.200000048
40.20000076,-0.200000048
40.09999847,-0.200000048
40,-0.200000048
39.90000153,-0.200000048
39.79999924,-0.200000048
39.70000076,-0.200000048
39.59999847,-0.200000048
39.5,-0.200000048
39.40000153,-0.200000048
39.29999924,-0.200000048
39.20000076,-0.200000048
39,-0.200000048
38.90000153,-0.200000048
38.79999924,-0.200000048
38.70000076,-0.200000048
38.59999847,-0.200000048
38.5,-0.200000048
38.40000153,-0.200000048
38.20000076,-0.200000048
38.09999847,-0.200000048
38,-0.200000048
37.90000153,-0.200000048
37.79999924,-0.200000048
37.70000076,-0.299999952
37.59999847,-0.400000095
37.5,-0.400000095
37.40000153,-0.400000095
37.29999924,-0.400000095
37.09999847,-0.400000095
37,-0.400000095
36.90000153,-0.400000095
36.79999924,-0.5
36.59999847,-0.5
36.5,-0.5
36.29999924,-0.600000024
36.20000076,-0.600000024
36.09999847,-0.600000024
36,-0.600000024
35.90000153,-0.600000024
35.79999924,-0.600000024
35.70000076,-0.600000024
35.59999847,-0.600000024
35.5,-0.600000024
35.40000153,-0.600000024
35.29999924,-0.600000024
35.20000076,-0.600000024
35.09999847,-0.600000024
35,-0.600000024
34.90000153,-0.600000024
34.79999924,-0.600000024
34.70000076,-0.600000024
34.5,-0.600000024
34.40000153,-0.600000024
34.29999924,-0.600000024
34.09999847,-0.600000024
34,-0.600000024
33.90000153,-0.600000024
33.79999924,-0.600000024
33.70000076,-0.700000048
33.59999847,-0.700000048
33.5,-0.700000048
33.40000153,-0.700000048
33.20000076,-0.700000048
33.09999847,-0.799999952
33,-0.799999952
32.90000153,-0.799999952
32.79999924,-0.799999952
32.70000076,-0.899999976
32.59999847,-0.899999976
